slug,title,cat,price,mrp,badge,icon,blurb,desc,includes,format,pages,language,driveFileId,image,active
25-osho-ideas-explained-simply,25 Osho Ideas Explained Simply,ebookbyte,249,399,Bestseller,📚,"Osho's boldest ideas on freedom, love and awareness, unpacked in plain language.","An independent, original explainer that breaks down 25 of Osho's most talked-about ideas into short, easy-to-read chapters — for curious readers who want the substance without wading through dense philosophy. This is an original DigitalByte publication and is not an official or endorsed release.",25 short chapters|Key-idea summaries|Reflection questions after each chapter|Printable highlights page,PDF (digital download),68,English,,,true
stoicism-in-30-pages,Stoicism in 30 Pages,ebookbyte,199,299,Sale,📖,"The core ideas of Stoic philosophy, distilled into a weekend read.","A compact, original guide to Stoic thinking — control, acceptance and calm under pressure — explained through everyday examples rather than academic language.",10 core Stoic ideas|Daily practice prompts|Quote reference sheet,PDF (digital download),30,English,,,true
the-gita-simply-explained,"The Gita, Simply Explained",ebookbyte,299,,New,📗,"The Bhagavad Gita's core teachings, explained chapter by chapter in Hindi and English.","An original bilingual explainer that walks through the Gita's central themes — duty, detachment and purpose — in accessible modern language, side by side in Hindi and English.",18-chapter summary|Hindi + English text|Glossary of key terms,PDF (digital download),80,Hindi & English,,,true
atomic-habits-core-ideas-explained,Atomic Habits — Core Ideas Explained,ebookbyte,199,,New,🔁,"The core habit-building framework, condensed into a fast, practical read.","An independent summary and explainer covering the core mechanics of habit formation — cues, cravings, response and reward — with worksheets to apply each idea. Not affiliated with or endorsed by the original author or publisher.",40-page explainer|4-law habit worksheet|Weekly tracker template,PDF (digital download),40,English,,,true
rumis-wisdom-20-ideas-explained,Rumi's Wisdom: 20 Ideas Explained,ebookbyte,249,,,🌙,"Twenty of Rumi's ideas on love, loss and belonging, explained simply.","An original reader's guide to Rumi's most resonant ideas, translated from poetry into plain, reflective prose with space to journal your own thoughts.",20 idea chapters|Journaling prompts|Curated verse references,PDF (digital download),50,English,,,true
nietzsche-without-the-headache,Nietzsche Without the Headache,ebookbyte,279,,,🗿,"Nietzsche's toughest ideas, explained without the jargon.","A friendly, original walkthrough of Nietzsche's key concepts — the will to power, eternal recurrence and more — written for readers who want clarity, not a philosophy degree.",12 concept chapters|Plain-language glossary|Discussion questions,PDF (digital download),60,English,,,true
editable-birthday-card-collection,Editable Birthday Card Collection,templatebits,299,449,Sale,🎂,20 editable birthday card designs you can personalise in minutes.,"A set of 20 fully editable birthday card templates. Swap in your own text and photos, then print at home or share digitally.",20 card designs|Editable text & photo layers|Print + digital-share versions,Canva template link + PDF,,English,,,true
editable-invitation-template-pack,Editable Invitation Template Pack,templatebits,249,,,✉️,"All-purpose invitation templates for parties, get-togethers and events.","Fifteen editable invitation layouts that work for birthdays, housewarmings and casual events — built for quick customisation with no design skills needed.",15 invitation layouts|Editable in Canva|Print-ready PDF versions,Canva template link + PDF,,English,,,true
instagram-post-template-bundle,Instagram Post Template Bundle (50 Designs),templatebits,499,,Bestseller,📱,50 on-trend Instagram post templates for creators and small brands.,"A ready-to-use bundle of 50 Instagram post designs covering quotes, promos, announcements and carousels — built to be re-themed to any brand's colours in minutes.",50 post templates|Story-size versions included|Editable colours & fonts,Canva template link,,English,,,true
minimal-resume-cover-letter-templates,Minimal Resume & Cover Letter Templates,templatebits,349,,New,📄,"Clean, recruiter-friendly resume and cover letter templates.","A set of minimal, easy-to-scan resume and cover letter templates designed for readability, with matching colour variants and clear section structure.",5 resume layouts|3 matching cover letters|Editable in Word & Canva,DOCX + Canva template,,English,,,true
wedding-invitation-template-set,Wedding Invitation Template Set,templatebits,599,,,💍,"Elegant, editable wedding invitation and save-the-date templates.","A coordinated wedding stationery set — invitations, save-the-dates and RSVP cards — in three colour palettes, ready to personalise.",Invitation + save-the-date + RSVP|3 colour palettes|Print-ready PDF & Canva link,Canva template link + PDF,,English,,,true
motivational-poster-design-templates,Motivational Poster Design Templates,templatebits,299,,,🖼️,"Printable motivational posters for home, office or classroom.","Twelve editable poster designs with motivational typography, ready to print in A3 or A4 for a study corner, office wall or classroom.",12 poster designs|A3 & A4 print sizes|Editable text in Canva,Canva template link + PDF,,English,,,true
kids-coloring-activity-book,Kids' Coloring & Activity Book,cartoon-activity,199,,Bestseller,🖍️,"40 pages of colouring, mazes and matching games for ages 4–8.","A printable activity book packed with colouring pages, simple mazes and matching games, designed to keep young kids happily busy for hours.",40 printable pages|Colouring + mazes + matching games|Ages 4–8,PDF (printable),40,English,,,true
jungle-animals-coloring-book,Jungle Animals Coloring Book,cartoon-activity,179,,,🦁,25 jungle-animal colouring pages for little wildlife fans.,"A cheerful colouring book featuring 25 jungle animals, drawn in bold, easy-to-colour outlines that are kind to small hands and crayons.","25 colouring pages|Bold, simple outlines|Ages 3–7",PDF (printable),25,English,,,true
dot-to-dot-puzzle-book-for-kids,Dot-to-Dot & Puzzle Book for Kids,cartoon-activity,229,,,🔢,"35 dot-to-dot, spot-the-difference and number puzzles.","A mixed puzzle book with dot-to-dot drawings, spot-the-difference scenes and simple number puzzles, building focus and fine motor skills.",35 puzzle pages|Answer key included|Ages 5–9,PDF (printable),35,English,,,true
